title,url,event_id,description
PE 199 1 3591,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222894371,1222894371,"Thursday, April 10, 2025, 10 - 11:15am Woodruff PE Center Large class room"
CS/IM Supervisor Meeting,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1249675253,1249675253,"Friday, April 11, 2025, 10 - 11am Woodruff PE Center small class room"
Emory Student Dance Rehearsals,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1241397142,1241397142,"Saturday, April 12, 2025, 9am - 1:45pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
Strong Nation (Lupe),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1233610389,1233610389,"Sunday, April 6, 2025, 10:30 - 11:45am Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
Tennis Class - PE,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1238868136,1238868136,"Monday, April 7, 2025, 10am - 12:45pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
Women's Tennis Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1235314593,1235314593,"Tuesday, April 8, 2025, 8:30 - 11:30am Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
PE 110 1 3191,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222917632,1222917632,"Wednesday, April 9, 2025, 8:30 - 9:45am Woodruff PE Center Aerobics Room"
DANC 121R 1 2730,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676399,1208676399,"Thursday, April 10, 2025, 10 - 11:15am Woodruff PE Center - Dance Studio"
MATH 212L 1 5760,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1212053913,1212053913,"Friday, April 11, 2025, 10 - 10:50am Woodruff PE Center - Dance Studio"
CS Women's Lacrosse Tournament,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1232695453,1232695453,"Saturday, April 12, 2025, 9am - 5pm Woodruff PE Center Candler Field #3, Woodruff PE Center Candler Field #4"
Mulan Dance,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1244564856,1244564856,"Sunday, April 6, 2025, 10:30am - 12pm Woodruff PE Center - Dance Studio"
Tennis Class - PE,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1238868081,1238868081,"Monday, April 7, 2025, 10am - 12:45pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
PE 167 2 3244,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222917628,1222917628,"Tuesday, April 8, 2025, 8:30 - 9:45am Woodruff PE Center Aerobics Room"
Monthly Coaches' Meeting,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1173915837,1173915837,"Wednesday, April 9, 2025, 10 - 11:30am Woodruff PE Center Large class room"
Men's Tennis Individuals,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1236519216,1236519216,"Thursday, April 10, 2025, 10am - 2:30pm Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center All Outdoor Tennis courts"
CS/IM Supervisor Meeting,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1234236722,1234236722,"Friday, April 11, 2025, 10 - 11am Woodruff PE Center small class room"
Men Tennis vs Santa Cruz,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222172171,1222172171,"Saturday, April 12, 2025, 9am - 5pm Woodruff PE Center All Outdoor Tennis courts"
Women's Tennis vs SCAD,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1216978046,1216978046,"Sunday, April 6, 2025, 11am - 3pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
PE 194 1 3285,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222917624,1222917624,"Monday, April 7, 2025, 10 - 11:15am Woodruff PE Center Aerobics Room"
PE 161 1 5607,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222893552,1222893552,"Tuesday, April 8, 2025, 10 - 11:15am Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
DANC 223R 1 2723,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676394,1208676394,"Wednesday, April 9, 2025, 10 - 11:15am Woodruff PE Center - Dance Studio"
Men's Tennis Individuals,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1236518494,1236518494,"Thursday, April 10, 2025, 10am - 2:30pm Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center All Outdoor Tennis courts"
PE 116 1 3221,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222895412,1222895412,"Friday, April 11, 2025, 11:30am - 12:20pm Woodruff PE Center Cycling Studio"
Agnition Dance Practice,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1242195754,1242195754,"Saturday, April 12, 2025, 9am - 12pm Woodruff PE Center Aerobics Room"
Women's Tennis vs SCAD,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1216978064,1216978064,"Sunday, April 6, 2025, 11am - 3pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
Hatha Yoga (Savvy),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1229821876,1229821876,"Monday, April 7, 2025, 11:30am - 12:30pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
DANC 121R 1 2730,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676389,1208676389,"Tuesday, April 8, 2025, 10 - 11:15am Woodruff PE Center - Dance Studio"
Tennis Class - PE,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1238868137,1238868137,"Wednesday, April 9, 2025, 10am - 12:45pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
PE 212 1 3298,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222894423,1222894423,"Thursday, April 10, 2025, 10 - 11:15am Woodruff PE Center Pool shallow end, Woodruff PE Center Pool lap lane, Woodruff PE Center Pool diving well / deep end, Woodruff PE Center Pool"
DANC 323R 1 2834,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676404,1208676404,"Friday, April 11, 2025, 11:30am - 12:45pm Woodruff PE Center - Dance Studio"
Soccer Spring Day,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1236214235,1236214235,"Saturday, April 12, 2025, 10am - 5pm Woodruff PE Center Outdoor track, Woodruff PE Center Soccer Field"
Powderpuff Football,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1251038096,1251038096,"Sunday, April 6, 2025, 11:30am - 5pm Woodruff  PE Center Candler Field #1, Woodruff PE Center Candler Field #2"
DANC 323R 1 2834,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1208676385,1208676385,"Monday, April 7, 2025, 11:30am - 12:45pm Woodruff PE Center - Dance Studio"
PE 212 1 3298,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222894421,1222894421,"Tuesday, April 8, 2025, 10 - 11:15am Woodruff PE Center Pool shallow end, Woodruff PE Center Pool lap lane, Woodruff PE Center Pool diving well / deep end, Woodruff PE Center Pool"
Tennis Class - PE,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1238868082,1238868082,"Wednesday, April 9, 2025, 10am - 12:45pm Woodruff PE Center All Outdoor Tennis courts, Woodruff PE Center All Indoor Tennis courts"
PE 192 1 3279,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1222894343,1222894343,"Thursday, April 10, 2025, 10 - 11:15am Woodruff PE Center Arena Court"
